author,title,year,articleURL,doi
"M Heubeck, M Mellor",Recent changes in the status and distribution of moulting Common Eiders Somateria mollissima in Shetland,2013,http://www.seabirdgroup.org.uk/journals/seabird-26/seabird-26-71.pdf,NA
DG NOTTON,RECORD OF AGENIOIDEUS SERICEUS,2018,https://www.researchgate.net/profile/David_Notton/publication/323607569_The_spider_wasp_Agenioideus_apicalis_Hymenoptera_Pompilidae_new_to_Britain_and_a_second_British_record_of_Agenioideus_sericeus/links/5aa2700da6fdcc22e2d2efdb/The-spider-wasp-Agenioideus-apicalis-Hymenoptera-Pompilidae-new-to-Britain-and-a-second-British-record-of-Agenioideus-sericeus.pdf,NA
J Altringham,Rhian Jenny Bek,2015,http://www.glowworms.org.uk/files/RhianBekDissertation2015.pdf,NA
"J Schroeder, D Stubbe, V Kleunen, RL White, A Luna…",Rose-ringed parakeet Psittacula krameri populations and numbers in Europe: a complete overview,2016,https://spiral.imperial.ac.uk/bitstream/10044/1/30398/9/TOOENIJ-9-1.pdf,NA
"MT Gilroy, CA Wright",Silent Invaders: Biodiversity Decline as a Result of Zebra and quagga Mussel Over Population,NA,https://cdn.cloud1.cemah.net/wp-content/uploads/sites/36/2016/11/Gilroy-and-Wright-2016.pdf,NA
"Z Kern, V Nagavciuc, A Perșoiu, I Popa",Stable isotope signatures in tree rings of Swiss stone pine (Pinus cembra L.) in Romania–annually resolved summer proxy archive for the past 600 years,2017,http://2017.sina.or.at/sites/2017.sina.or.at/files/SINA_2017-Programme-Abstract-Book.pdf#page=16,NA
I Ro,STR fras pda,NA,https://pdfs.semanticscholar.org/4225/83fc9347044c763f2f46bf1d93d0a716a021.pdf,NA
"C O'Mahony, K Kopke, S Twomey, AM O'Hagan…",SWAN Research Project,2014,https://www.researchgate.net/profile/Sarah_Twomey/publication/270490873_Integrated_Coastal_Zone_Management_in_Ireland_-_Meeting_Water_Framework_Directive_and_Marine_Strategy_Framework_Directive_targets_for_Ireland's_transitional_and_coastal_waters_through_implementation_o/links/54abbee30cf25c4c472f90bf/Integrated-Coastal-Zone-Management-in-Ireland-Meeting-Water-Framework-Directive-and-Marine-Strategy-Framework-Directive-targets-for-Irelands-transitional-and-coastal-waters-through-implementation-of.pdf,NA
S Findlay,The bright side of linking science and management in large river ecosystems: The Hudson River case study,2018,http://onlinelibrary.wiley.com/doi/10.1002/rra.3233/full,NA
E Croose,The Distribution and Status of the Polecat (Mustela putorius) in Britain 2014-2015,2016,https://www.researchgate.net/profile/Lizzie_Croose/publication/299859062_The_Distribution_and_Status_of_the_Polecat_Mustela_putorius_in_Britain_2014-2015/links/5706690708aecbf68ba9d553/The-Distribution-and-Status-of-the-Polecat-Mustela-putorius-in-Britain-2014-2015.pdf,NA
